localidad,provincia,idproducto,producto,precio,fecha_vigencia,idempresabandera,empresabandera,latitud,longitud
hernando,cordoba,6,gnc,13,2017-04-06 15:09:00,1,blanca,-32.44274,-63.71377
hernando,cordoba,6,gnc,13,2017-04-06 15:09:00,1,blanca,-32.44274,-63.71377
capital federal,capital federal,6,gnc,7,2017-04-07 06:00:00,1,blanca,-34.632822,-58.520051
capital federal,capital federal,6,gnc,10,2017-04-07 06:00:00,1,blanca,-34.632822,-58.520051
los condores,cordoba,6,gnc,12,2017-04-08 08:10:00,6,dapsa,-32.32061,-64.28316
los condores,cordoba,6,gnc,12,2017-04-08 08:10:00,6,dapsa,-32.32061,-64.28316
los cardales,buenos aires,6,gnc,11,2017-04-18 07:55:00,1,blanca,-34.325148044,-58.990373635
los cardales,buenos aires,6,gnc,11,2017-04-18 07:55:00,1,blanca,-34.325148044,-58.990373635
aguilares,tucuman,6,gnc,11,2017-04-20 08:12:00,2,ypf,-27.42947,-65.60995
aguilares,tucuman,6,gnc,11,2017-04-20 08:12:00,2,ypf,-27.42947,-65.60995
palpala,jujuy,6,gnc,12,2017-05-09 14:44:00,1,blanca,-24.2543345,-65.207862
palpala,jujuy,6,gnc,12,2017-05-09 14:44:00,1,blanca,-24.2543345,-65.207862
9 de julio,buenos aires,6,gnc,12,2017-05-10 14:11:00,1,blanca,-35.443127,-60.893184
9 de julio,buenos aires,6,gnc,12,2017-05-10 14:11:00,1,blanca,-35.443127,-60.893184
oran,salta,6,gnc,12,2017-05-17 19:55:00,1,blanca,-23.151737,-64.326711
oran,salta,6,gnc,12,2017-05-17 19:55:00,1,blanca,-23.151737,-64.326711
san miguel de tucuman,tucuman,6,gnc,11,2017-05-24 22:00:00,1,blanca,-26.815769,-65.208849
san miguel de tucuman,tucuman,6,gnc,11,2017-05-24 22:00:00,1,blanca,-26.815769,-65.208849
la cocha,tucuman,6,gnc,11,2017-05-25 18:03:00,2,ypf,-27.766682,-65.583418
la cocha,tucuman,6,gnc,11,2017-05-25 18:03:00,2,ypf,-27.766682,-65.583418
9 de julio,buenos aires,6,gnc,12,2017-06-09 11:32:00,1,blanca,-35.455066,-60.892306
9 de julio,buenos aires,6,gnc,12,2017-06-09 11:32:00,1,blanca,-35.455066,-60.892306
neuquen,neuquen,6,gnc,10,2017-07-02 20:42:00,1,blanca,-38.950608,-68.100639
neuquen,neuquen,6,gnc,10,2017-07-02 20:42:00,1,blanca,-38.950608,-68.100639
haedo,buenos aires,6,gnc,9,2017-07-13 11:23:00,1,blanca,-34.63399,-58.6125
haedo,buenos aires,6,gnc,9,2017-07-13 11:23:00,1,blanca,-34.63399,-58.6125
pergamino,buenos aires,6,gnc,14,2017-12-01 15:00:00,1,blanca,-33.888113,-60.571465
pergamino,buenos aires,6,gnc,14,2017-12-01 15:00:00,1,blanca,-33.888113,-60.571465
capital federal,capital federal,6,gnc,11,2017-12-02 17:24:00,2,ypf,-34.595253,-58.451369
capital federal,capital federal,6,gnc,11,2017-12-02 17:24:00,2,ypf,-34.595253,-58.451369
guaymallen,mendoza,6,gnc,13,2017-12-15 17:13:00,2,ypf,-32.89762,-68.8023
guaymallen,mendoza,6,gnc,13,2017-12-15 17:13:00,2,ypf,-32.89762,-68.8023
trelew,chubut,6,gnc,17,2018-02-19 14:53:00,26,axion,-43.266235,-65.300456
trelew,chubut,6,gnc,17,2018-02-19 14:53:00,26,axion,-43.266235,-65.300456
embalse,cordoba,6,gnc,14,2018-03-05 12:27:00,1,blanca,-32.22308,-64.393242
embalse,cordoba,6,gnc,14,2018-03-05 12:27:00,1,blanca,-32.22308,-64.393242
garin,buenos aires,6,gnc,14,2018-04-04 10:17:00,2,ypf,-34.40912,-58.73039
garin,buenos aires,6,gnc,14,2018-04-04 10:17:00,2,ypf,-34.40912,-58.73039
coquimbito,mendoza,6,gnc,15,2018-04-05 12:10:00,2,ypf,-32.96268,-68.75592
coquimbito,mendoza,6,gnc,15,2018-04-05 12:10:00,2,ypf,-32.96268,-68.75592
rivadavia,mendoza,6,gnc,16,2018-04-11 17:54:00,2,ypf,-33.19211,-68.46315
rivadavia,mendoza,6,gnc,16,2018-04-11 17:54:00,2,ypf,-33.19211,-68.46315
tartagal,salta,6,gnc,16,2018-05-08 18:29:00,26,axion,-22.53684,-63.79751
